"filename", "language", "TypeScript React", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\emane\Desktop\App\Punto\src\components\NumberField.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\emane\Desktop\App\Punto\src\components\NumberFieldArray.tsx", "TypeScript React", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 105
"c:\Users\emane\Desktop\App\Punto\src\components\RevisionDeArticulos.tsx", "TypeScript React", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 188
"c:\Users\emane\Desktop\App\Punto\src\components\SuccessErrorMessage.tsx", "TypeScript React", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\emane\Desktop\App\Punto\src\components\TablePaginationActions.tsx", "TypeScript React", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 90
"c:\Users\emane\Desktop\App\Punto\src\components\TextForm.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 61
"c:\Users\emane\Desktop\App\Punto\src\components\index.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\emane\Desktop\App\Punto\src\components\listItems.tsx", "TypeScript React", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 115
"c:\Users\emane\Desktop\App\Punto\src\firebase.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\emane\Desktop\App\Punto\src\formPartials\Articulos.tsx", "TypeScript React", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 166
"c:\Users\emane\Desktop\App\Punto\src\formPartials\ArticulosEscaner\ArticulosEscaner.tsx", "TypeScript React", 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 355
"c:\Users\emane\Desktop\App\Punto\src\formPartials\ArticulosEscaner\components\Escaneos.tsx", "TypeScript React", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 149
"c:\Users\emane\Desktop\App\Punto\src\formPartials\ArticulosEscaner\components\PaquetesAbiertos.tsx", "TypeScript React", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 153
"c:\Users\emane\Desktop\App\Punto\src\formPartials\ArticulosEscaner\components\Precios.tsx", "TypeScript React", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 116
"c:\Users\emane\Desktop\App\Punto\src\formPartials\ArticulosEscaner\components\PrendasSueltas.tsx", "TypeScript React", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 316
"c:\Users\emane\Desktop\App\Punto\src\formPartials\ArticulosEscaner\components\QR.tsx", "TypeScript React", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 196
"c:\Users\emane\Desktop\App\Punto\src\formPartials\ArticulosEscaner\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\formPartials\Direccion.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 4, 75
"c:\Users\emane\Desktop\App\Punto\src\formPartials\NewUserForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 14, 236
"c:\Users\emane\Desktop\App\Punto\src\index.html", "HTML", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\emane\Desktop\App\Punto\src\index.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\emane\Desktop\App\Punto\src\layouts\Auth.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\emane\Desktop\App\Punto\src\layouts\Dashboard.tsx", "TypeScript React", 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 486
"c:\Users\emane\Desktop\App\Punto\src\layouts\Error.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\emane\Desktop\App\Punto\src\main.dev.ts", "TypeScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 27, 27, 177
"c:\Users\emane\Desktop\App\Punto\src\menu.ts", "TypeScript", 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 54, 14, 303
"c:\Users\emane\Desktop\App\Punto\src\package.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\emane\Desktop\App\Punto\src\reducers\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\emane\Desktop\App\Punto\src\reducers\plazaReducer.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\emane\Desktop\App\Punto\src\reducers\sessionReducer.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\emane\Desktop\App\Punto\src\store\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\emane\Desktop\App\Punto\src\store\store.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"c:\Users\emane\Desktop\App\Punto\src\theme\index.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiButton.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiCardActions.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiCardContent.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiCardHeader.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\emane\Desktop\App\Punto\src\theme\overrides\MuiChip.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
